Hobo,DateTimeGMT,Temp,Max,Min
12b,12/19/14 0:00,,22.058,13.834
12b,12/19/14 14:00,22.058,,
12b,12/19/14 14:02,,,
12b,12/19/14 15:00,20.746,,
12b,12/19/14 16:00,16.725,,
12b,12/19/14 17:00,15.748,,
12b,12/19/14 18:00,15.127,,
12b,12/19/14 19:00,13.834,,
12b,12/19/14 20:00,13.834,,
12b,12/19/14 21:00,13.834,,
12b,12/19/14 22:00,13.834,,
12b,12/19/14 23:00,13.834,,
12b,12/20/14 0:00,,13.954,13.834
12b,12/20/14 0:00,13.834,,
12b,12/20/14 1:00,13.834,,
12b,12/20/14 2:00,13.834,,
12b,12/20/14 3:00,13.834,,
12b,12/20/14 4:00,13.858,,
12b,12/20/14 5:00,13.834,,
12b,12/20/14 6:00,13.834,,
12b,12/20/14 7:00,13.858,,
12b,12/20/14 8:00,13.858,,
12b,12/20/14 9:00,13.858,,
12b,12/20/14 10:00,13.858,,
12b,12/20/14 11:00,13.882,,
12b,12/20/14 12:00,13.954,,
12b,12/20/14 13:00,13.93,,
12b,12/20/14 14:00,13.93,,
12b,12/20/14 15:00,13.93,,
12b,12/20/14 16:00,13.882,,
12b,12/20/14 17:00,13.882,,
12b,12/20/14 18:00,13.882,,
12b,12/20/14 19:00,13.858,,
12b,12/20/14 20:00,13.858,,
12b,12/20/14 21:00,13.882,,
12b,12/20/14 22:00,13.882,,
12b,12/20/14 23:00,13.906,,
12b,12/21/14 0:00,,14.074,13.882
12b,12/21/14 0:00,13.93,,
12b,12/21/14 1:00,13.93,,
12b,12/21/14 2:00,13.906,,
12b,12/21/14 3:00,13.906,,
12b,12/21/14 4:00,13.882,,
12b,12/21/14 5:00,13.882,,
12b,12/21/14 6:00,13.882,,
12b,12/21/14 7:00,13.882,,
12b,12/21/14 8:00,13.906,,
12b,12/21/14 9:00,13.93,,
12b,12/21/14 10:00,14.002,,
12b,12/21/14 11:00,14.002,,
12b,12/21/14 12:00,14.074,,
12b,12/21/14 13:00,14.026,,
12b,12/21/14 14:00,14.074,,
12b,12/21/14 15:00,14.074,,
12b,12/21/14 16:00,14.026,,
12b,12/21/14 17:00,13.93,,
12b,12/21/14 18:00,13.978,,
12b,12/21/14 19:00,13.93,,
12b,12/21/14 20:00,13.93,,
12b,12/21/14 21:00,13.906,,
12b,12/21/14 22:00,13.93,,
12b,12/21/14 23:00,13.882,,
12b,12/22/14 0:00,,14.05,13.858
12b,12/22/14 0:00,13.858,,
12b,12/22/14 1:00,13.858,,
12b,12/22/14 2:00,13.858,,
12b,12/22/14 3:00,13.882,,
12b,12/22/14 4:00,13.882,,
12b,12/22/14 5:00,13.882,,
12b,12/22/14 6:00,13.882,,
12b,12/22/14 7:00,13.906,,
12b,12/22/14 8:00,13.906,,
12b,12/22/14 9:00,13.93,,
12b,12/22/14 10:00,13.882,,
12b,12/22/14 11:00,13.906,,
12b,12/22/14 12:00,13.954,,
12b,12/22/14 13:00,14.002,,
12b,12/22/14 14:00,14.05,,
12b,12/22/14 15:00,13.978,,
12b,12/22/14 16:00,14.026,,
12b,12/22/14 17:00,13.906,,
12b,12/22/14 18:00,13.882,,
12b,12/22/14 19:00,13.858,,
12b,12/22/14 20:00,13.882,,
12b,12/22/14 21:00,13.882,,
12b,12/22/14 22:00,13.882,,
12b,12/22/14 23:00,13.882,,
12b,12/23/14 0:00,,13.978,13.618
12b,12/23/14 0:00,13.858,,
12b,12/23/14 1:00,13.81,,
12b,12/23/14 2:00,13.786,,
12b,12/23/14 3:00,13.786,,
12b,12/23/14 4:00,13.738,,
12b,12/23/14 5:00,13.762,,
12b,12/23/14 6:00,13.714,,
12b,12/23/14 7:00,13.69,,
12b,12/23/14 8:00,13.738,,
12b,12/23/14 9:00,13.786,,
12b,12/23/14 10:00,13.786,,
12b,12/23/14 11:00,13.858,,
12b,12/23/14 12:00,13.906,,
12b,12/23/14 13:00,13.93,,
12b,12/23/14 14:00,13.882,,
12b,12/23/14 15:00,13.978,,
12b,12/23/14 16:00,13.882,,
12b,12/23/14 17:00,13.882,,
12b,12/23/14 18:00,13.762,,
12b,12/23/14 19:00,13.762,,
12b,12/23/14 20:00,13.714,,
12b,12/23/14 21:00,13.666,,
12b,12/23/14 22:00,13.642,,
12b,12/23/14 23:00,13.618,,
12b,12/24/14 0:00,,13.882,13.522
12b,12/24/14 0:00,13.642,,
12b,12/24/14 1:00,13.69,,
12b,12/24/14 2:00,13.69,,
12b,12/24/14 3:00,13.714,,
12b,12/24/14 4:00,13.69,,
12b,12/24/14 5:00,13.714,,
12b,12/24/14 6:00,13.714,,
12b,12/24/14 7:00,13.69,,
12b,12/24/14 8:00,13.666,,
12b,12/24/14 9:00,13.666,,
12b,12/24/14 10:00,13.714,,
12b,12/24/14 11:00,13.762,,
12b,12/24/14 12:00,13.81,,
12b,12/24/14 13:00,13.81,,
12b,12/24/14 14:00,13.882,,
12b,12/24/14 15:00,13.858,,
12b,12/24/14 16:00,13.81,,
12b,12/24/14 17:00,13.738,,
12b,12/24/14 18:00,13.69,,
12b,12/24/14 19:00,13.666,,
12b,12/24/14 20:00,13.618,,
12b,12/24/14 21:00,13.57,,
12b,12/24/14 22:00,13.522,,
12b,12/24/14 23:00,13.522,,
12b,12/25/14 0:00,,13.738,13.305
12b,12/25/14 0:00,13.449,,
12b,12/25/14 1:00,13.449,,
12b,12/25/14 2:00,13.449,,
12b,12/25/14 3:00,13.401,,
12b,12/25/14 4:00,13.401,,
12b,12/25/14 5:00,13.377,,
12b,12/25/14 6:00,13.329,,
12b,12/25/14 7:00,13.305,,
12b,12/25/14 8:00,13.353,,
12b,12/25/14 9:00,13.473,,
12b,12/25/14 10:00,13.546,,
12b,12/25/14 11:00,13.642,,
12b,12/25/14 12:00,13.666,,
12b,12/25/14 13:00,13.69,,
12b,12/25/14 14:00,13.738,,
12b,12/25/14 15:00,13.714,,
12b,12/25/14 16:00,13.714,,
12b,12/25/14 17:00,13.642,,
12b,12/25/14 18:00,13.546,,
12b,12/25/14 19:00,13.546,,
12b,12/25/14 20:00,13.473,,
12b,12/25/14 21:00,13.449,,
12b,12/25/14 22:00,13.449,,
12b,12/25/14 23:00,13.401,,
12b,12/26/14 0:00,,13.738,13.209
12b,12/26/14 0:00,13.377,,
12b,12/26/14 1:00,13.329,,
12b,12/26/14 2:00,13.329,,
12b,12/26/14 3:00,13.305,,
12b,12/26/14 4:00,13.257,,
12b,12/26/14 5:00,13.233,,
12b,12/26/14 6:00,13.233,,
12b,12/26/14 7:00,13.209,,
12b,12/26/14 8:00,13.233,,
12b,12/26/14 9:00,13.353,,
12b,12/26/14 10:00,13.497,,
12b,12/26/14 11:00,13.594,,
12b,12/26/14 12:00,13.642,,
12b,12/26/14 13:00,13.714,,
12b,12/26/14 14:00,13.738,,
12b,12/26/14 15:00,13.69,,
12b,12/26/14 16:00,13.69,,
12b,12/26/14 17:00,13.618,,
12b,12/26/14 18:00,13.546,,
12b,12/26/14 19:00,13.522,,
12b,12/26/14 20:00,13.497,,
12b,12/26/14 21:00,13.497,,
12b,12/26/14 22:00,13.473,,
12b,12/26/14 23:00,13.449,,
12b,12/27/14 0:00,,13.882,13.281
12b,12/27/14 0:00,13.377,,
12b,12/27/14 1:00,13.353,,
12b,12/27/14 2:00,13.377,,
12b,12/27/14 3:00,13.377,,
12b,12/27/14 4:00,13.353,,
12b,12/27/14 5:00,13.329,,
12b,12/27/14 6:00,13.281,,
12b,12/27/14 7:00,13.305,,
12b,12/27/14 8:00,13.305,,
12b,12/27/14 9:00,13.425,,
12b,12/27/14 10:00,13.57,,
12b,12/27/14 11:00,13.69,,
12b,12/27/14 12:00,13.762,,
12b,12/27/14 13:00,13.858,,
12b,12/27/14 14:00,13.882,,
12b,12/27/14 15:00,13.882,,
12b,12/27/14 16:00,13.81,,
12b,12/27/14 17:00,13.714,,
12b,12/27/14 18:00,13.666,,
12b,12/27/14 19:00,13.57,,
12b,12/27/14 20:00,13.522,,
12b,12/27/14 21:00,13.473,,
12b,12/27/14 22:00,13.449,,
12b,12/27/14 23:00,13.425,,
12b,12/28/14 0:00,,13.954,13.305
12b,12/28/14 0:00,13.425,,
12b,12/28/14 1:00,13.449,,
12b,12/28/14 2:00,13.473,,
12b,12/28/14 3:00,13.401,,
12b,12/28/14 4:00,13.401,,
12b,12/28/14 5:00,13.377,,
12b,12/28/14 6:00,13.353,,
12b,12/28/14 7:00,13.305,,
12b,12/28/14 8:00,13.305,,
12b,12/28/14 9:00,13.425,,
12b,12/28/14 10:00,13.594,,
12b,12/28/14 11:00,13.714,,
12b,12/28/14 12:00,13.858,,
12b,12/28/14 13:00,13.882,,
12b,12/28/14 14:00,13.93,,
12b,12/28/14 15:00,13.954,,
12b,12/28/14 16:00,13.882,,
12b,12/28/14 17:00,13.762,,
12b,12/28/14 18:00,13.642,,
12b,12/28/14 19:00,13.594,,
12b,12/28/14 20:00,13.57,,
12b,12/28/14 21:00,13.497,,
12b,12/28/14 22:00,13.473,,
12b,12/28/14 23:00,13.449,,
12b,12/29/14 0:00,,13.81,13.425
12b,12/29/14 0:00,13.425,,
12b,12/29/14 1:00,13.449,,
12b,12/29/14 2:00,13.497,,
12b,12/29/14 3:00,13.546,,
12b,12/29/14 4:00,13.546,,
12b,12/29/14 5:00,13.594,,
12b,12/29/14 6:00,13.546,,
12b,12/29/14 7:00,13.546,,
12b,12/29/14 8:00,13.497,,
12b,12/29/14 9:00,13.497,,
12b,12/29/14 10:00,13.497,,
12b,12/29/14 11:00,13.618,,
12b,12/29/14 12:00,13.69,,
12b,12/29/14 13:00,13.714,,
12b,12/29/14 14:00,13.81,,
12b,12/29/14 15:00,13.81,,
12b,12/29/14 16:00,13.762,,
12b,12/29/14 17:00,13.666,,
12b,12/29/14 18:00,13.642,,
12b,12/29/14 19:00,13.618,,
12b,12/29/14 20:00,13.642,,
12b,12/29/14 21:00,13.57,,
12b,12/29/14 22:00,13.497,,
12b,12/29/14 23:00,13.473,,
12b,12/30/14 0:00,,14.314,13.064
12b,12/30/14 0:00,13.473,,
12b,12/30/14 1:00,13.449,,
12b,12/30/14 2:00,13.377,,
12b,12/30/14 3:00,13.353,,
12b,12/30/14 4:00,13.305,,
12b,12/30/14 5:00,13.161,,
12b,12/30/14 6:00,13.112,,
12b,12/30/14 7:00,13.088,,
12b,12/30/14 8:00,13.064,,
12b,12/30/14 9:00,13.473,,
12b,12/30/14 10:00,14.026,,
12b,12/30/14 11:00,14.098,,
12b,12/30/14 12:00,14.146,,
12b,12/30/14 13:00,14.194,,
12b,12/30/14 14:00,14.29,,
12b,12/30/14 15:00,14.314,,
12b,12/30/14 16:00,14.17,,
12b,12/30/14 17:00,14.122,,
12b,12/30/14 18:00,14.122,,
12b,12/30/14 19:00,14.074,,
12b,12/30/14 20:00,14.05,,
12b,12/30/14 21:00,14.05,,
12b,12/30/14 22:00,13.978,,
12b,12/30/14 23:00,13.978,,
12b,12/31/14 0:00,,14.218,13.882
12b,12/31/14 0:00,13.954,,
12b,12/31/14 1:00,13.93,,
12b,12/31/14 2:00,13.906,,
12b,12/31/14 3:00,13.906,,
12b,12/31/14 4:00,13.882,,
12b,12/31/14 5:00,13.906,,
12b,12/31/14 6:00,13.906,,
12b,12/31/14 7:00,13.882,,
12b,12/31/14 8:00,13.906,,
12b,12/31/14 9:00,13.978,,
12b,12/31/14 10:00,14.05,,
12b,12/31/14 11:00,14.146,,
12b,12/31/14 12:00,14.146,,
12b,12/31/14 13:00,14.218,,
12b,12/31/14 14:00,14.194,,
12b,12/31/14 15:00,14.194,,
12b,12/31/14 16:00,14.194,,
12b,12/31/14 17:00,14.194,,
12b,12/31/14 18:00,14.17,,
12b,12/31/14 19:00,14.17,,
12b,12/31/14 20:00,14.146,,
12b,12/31/14 21:00,14.146,,
12b,12/31/14 22:00,14.122,,
12b,12/31/14 23:00,14.146,,
12b,1/1/15 0:00,,14.433,14.074
12b,1/1/15 0:00,14.074,,
12b,1/1/15 1:00,14.098,,
12b,1/1/15 2:00,14.146,,
12b,1/1/15 3:00,14.122,,
12b,1/1/15 4:00,14.122,,
12b,1/1/15 5:00,14.122,,
12b,1/1/15 6:00,14.098,,
12b,1/1/15 7:00,14.098,,
12b,1/1/15 8:00,14.074,,
12b,1/1/15 9:00,14.194,,
12b,1/1/15 10:00,14.242,,
12b,1/1/15 11:00,14.314,,
12b,1/1/15 12:00,14.361,,
12b,1/1/15 13:00,14.433,,
12b,1/1/15 14:00,14.433,,
12b,1/1/15 15:00,14.385,,
12b,1/1/15 16:00,14.361,,
12b,1/1/15 17:00,14.29,,
12b,1/1/15 18:00,14.194,,
12b,1/1/15 19:00,14.194,,
12b,1/1/15 20:00,14.146,,
12b,1/1/15 21:00,14.146,,
12b,1/1/15 22:00,14.146,,
12b,1/1/15 23:00,14.098,,
12b,1/2/15 0:00,,14.385,14.026
12b,1/2/15 0:00,14.098,,
12b,1/2/15 1:00,14.098,,
12b,1/2/15 2:00,14.074,,
12b,1/2/15 3:00,14.098,,
12b,1/2/15 4:00,14.05,,
12b,1/2/15 5:00,14.074,,
12b,1/2/15 6:00,14.05,,
12b,1/2/15 7:00,14.026,,
12b,1/2/15 8:00,14.05,,
12b,1/2/15 9:00,14.122,,
12b,1/2/15 10:00,14.146,,
12b,1/2/15 11:00,14.218,,
12b,1/2/15 12:00,14.29,,
12b,1/2/15 13:00,14.337,,
12b,1/2/15 14:00,14.337,,
12b,1/2/15 15:00,14.385,,
12b,1/2/15 16:00,14.314,,
12b,1/2/15 17:00,14.242,,
